기간,품목명,품목코드,국가명,수출중량,수입중량,수출금액,수입금액,무역수지
2000,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             179,507.3",                   0,"              73,082","             -73,082"
2001,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             194,494.3",                   0,"              69,993","             -69,993"
2002,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             187,131.9",                   0,"              78,196","             -78,196"
2003,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             220,965.0",                   0,"              90,681","             -90,681"
2004,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                  35.2,"             210,089.6",                  26,"              86,651","             -86,625"
2005,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             253,636.0",                   0,"             114,567","            -114,567"
2006,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             280,206.6",                   0,"             144,666","            -144,666"
2007,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             307,484.1",                   0,"             170,127","            -170,127"
2008,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             258,061.0",                   0,"             153,763","            -153,763"
2009,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             256,578.9",                   0,"             163,370","            -163,370"
2010,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             336,563.1",                   0,"             209,289","            -209,289"
2011,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                 593.3,"             347,634.8",                 464,"             241,117","            -240,653"
2012,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080390,필리핀,                 165.4,"             362,876.0",                  89,"             245,173","            -245,084"
2013,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080390,필리핀,                   0.0,"             306,517.2",                   0,"             246,763","            -246,763"
2014,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080390,필리핀,                 543.5,"             343,501.1",                 368,"             305,087","            -304,720"
2015,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080390,필리핀,                 376.1,"             328,613.3",                 314,"             287,014","            -286,700"
2016,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080390,필리핀,                   0.0,"             168,180.5",                   0,"             147,860","            -147,860"
